id,area,roles,what_it_does,web_location,backing_routes,classification,mobile_treatment,phase,dependencies,risk,store_policy_note
PG-001,Public marketing,all,"Home: immersive hero, trust bar, featured artists from the live catalogue, For Venues grid",website/src/app//page.tsx,GET /api/browse-artists (paged replacement WP-N-BROWSE),Rebuilt specifically for mobile,"Native Home tab per role. Signed-out and customer users get a discovery feed (featured, near me, recent); artists and venues land on their portal Home instead, so the marketing home is not the app's front door.",P1,GET /api/browse-artists (paged replacement WP-N-BROWSE),Low,-
PG-002,Public marketing,all,About page,website/src/app/(pages)/about/page.tsx,,Intentionally excluded,"Stays on the web. Reached from Settings > About Wallplace, which opens the web page in an in-app browser tab. Nobody loses it; it is read once.",Web only,-,Low,"4.2.2 says an app should not primarily be marketing material, so marketing pages stay off the tab bar."
PG-003,Account,all,Appeal a moderation decision,website/src/app/(pages)/account/appeal/page.tsx,POST /api/moderation,Reused with modification,Native form reached from the suppression or block notice.,P4,POST /api/moderation,Low,Apple 1.2 and Play UGC both expect an appeal path.
PG-004,Account,all,Seven email preference toggles,website/src/app/(pages)/account/email/page.tsx,GET/PATCH /api/account/email-preferences,Reused with modification,"Native Notifications settings screen that shows email and push side by side, so a user sets both in one place instead of learning they are different systems.",P2,GET/PATCH /api/account/email-preferences,Med,-
PG-005,Account,all,One-click unsubscribe from a signed link,website/src/app/(pages)/account/email/unsubscribe/page.tsx,,Intentionally excluded,Web. It is opened from an email client and must work without the app.,Web only,-,Low,"List-Unsubscribe compliance is an email requirement, not an app one."
PG-006,Account,all,Data export download,website/src/app/(pages)/account/export/page.tsx,GET /api/account/export,Reused with modification,"Native: request the export, then hand the JSON to the system share sheet or Files, since a viewer sandbox cannot rely on an anchor download.",P3,GET /api/account/export,Med,UK GDPR access right; both stores expect data controls to be reachable.
PG-007,Account,all,"Password change with re-authentication, session list, account deletion",website/src/app/(pages)/account/security/page.tsx,POST /api/account/delete,Reused with modification,Native Security screen. Account deletion stays a typed confirmation and calls the same POST /api/account/delete.,P2,POST /api/account/delete,HIGH,"Apple 5.1.1(v) requires in-app deletion; Play requires in-app AND a web link, which /account/security already provides."
PG-008,Admin,admin,Admin dashboard,website/src/app/(pages)/admin/page.tsx,,Intentionally excluded,"Every admin surface stays on the web. There is one admin, the work is desk work (reading applications, adjudicating disputes, writing quotes), and shipping an admin surface would put the ADMIN_EMAILS predicate and the audit log inside a store-reviewed binary for no user benefit. The owner uses the web on a phone browser when away from a desk.",Web only,-,Low,Shipping admin tools would also raise 5.1.1 and reviewer-account questions for no gain.
PG-009,Admin,admin,Accept or reject artist applications,website/src/app/(pages)/admin/applications/page.tsx,,Intentionally excluded,"Web. This is the highest-value admin action and worth a push notification to the owner (see WP-X-ADMINPUSH), but the decision itself stays on the web.",Web only,-,Med,-
PG-010,Admin,admin,Artist administration,website/src/app/(pages)/admin/artists/page.tsx,,Intentionally excluded,Web.,Web only,-,Low,-
PG-011,Admin,admin,Blog review,website/src/app/(pages)/admin/blogs/page.tsx,BLOGS_V1,Intentionally excluded,Web.,Web only,BLOGS_V1,Low,-
PG-012,Admin,admin,Curation quotes and refunds,website/src/app/(pages)/admin/curation/page.tsx,,Intentionally excluded,Web.,Web only,-,Low,-
PG-013,Admin,admin,Dispute adjudication,website/src/app/(pages)/admin/disputes/page.tsx,,Intentionally excluded,Web.,Web only,-,Low,-
PG-014,Admin,admin,Feature request triage,website/src/app/(pages)/admin/feature-requests/page.tsx,,Intentionally excluded,Web.,Web only,-,Low,-
PG-015,Admin,admin,Feedback triage,website/src/app/(pages)/admin/feedback/page.tsx,,Intentionally excluded,Web.,Web only,-,Low,-
PG-016,Admin,admin,MRR and financials,website/src/app/(pages)/admin/financials/page.tsx,,Intentionally excluded,Web. It gains a third revenue channel only if store billing is ever adopted; see section 6.9.,Web only,-,Med,-
PG-017,Admin,admin,Moderation queue,website/src/app/(pages)/admin/moderation/page.tsx,,Intentionally excluded,"Web. Note the queue is the backstop for in-app reports, so its throughput matters to Apple 1.2 even though it is not in the app.",Web only,-,Med,Apple 1.2 expects reported content to be acted on; the queue is where that happens.
PG-018,Admin,admin,Refund approval,website/src/app/(pages)/admin/refunds/page.tsx,,Intentionally excluded,Web.,Web only,-,Low,-
PG-019,Admin,admin,Venue administration,website/src/app/(pages)/admin/venues/page.tsx,,Intentionally excluded,Web.,Web only,-,Low,-
